District,Chart,Instrument,Var_name,Variable,Section,Link_to_District,Type,Matrix_prompt,Item_text,Value,ResponseCategory,SubPopVar,SubPopVal,UnweightedCnt,Item_N,Flag_Row,Flag_Item,WeightedCntEstimate,WeightedCntSTDError,WeightedCntCILowerBound,WeightedCntCIUpperBound,WeightedPctEstimate,WeightedPctSTDError,WeightedPctCILowerBound,WeightedPctCIUpperBound,WeightedMean,WeightedMeanSE,WeightedMeanCILowerBound,WeightedMeanCIUpperBound,WeightedMedian
Boston,i1,Principal,i1_g08,i_Page_i1_i109,DEMOGRAPHICS,i1_g08,Yes/No,What grade levels does your school serve?,Grade 8,0,No,District Name,Boston,24,37,N,N,64.97,8.75,47.48,82.46,64.86,5.77,52.79,75.29,,,,,
Boston,i1,Principal,i1_g08,i_Page_i1_i109,DEMOGRAPHICS,i1_g08,Yes/No,What grade levels does your school serve?,Grade 8,1,Yes,District Name,Boston,13,37,N,N,35.19,6.15,22.9,47.49,35.14,5.77,24.71,47.21,,,,,
Boston,i1,Principal,i1_g08,i_Page_i1_i109,DEMOGRAPHICS,i1_g08,Yes/No,What grade levels does your school serve?,Grade 8,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g08,i_Page_i1_i109,DEMOGRAPHICS,i1_g08,Yes/No,What grade levels does your school serve?,Grade 8,,,District Name,Boston,,37,N,N,,,,,,,,,0.35,0.06,0.24,0.47,0
Boston,i1,Principal,i1_g09,i_Page_i1_i110,DEMOGRAPHICS,i1_g09,Yes/No,What grade levels does your school serve?,Grade 9,0,No,District Name,Boston,29,37,N,N,78.51,8.57,61.36,95.65,78.38,5.51,65.67,87.29,,,,,
Boston,i1,Principal,i1_g09,i_Page_i1_i110,DEMOGRAPHICS,i1_g09,Yes/No,What grade levels does your school serve?,Grade 9,1,Yes,District Name,Boston,8,37,N,N,21.66,5.96,9.73,33.59,21.62,5.51,12.71,34.33,,,,,
Boston,i1,Principal,i1_g09,i_Page_i1_i110,DEMOGRAPHICS,i1_g09,Yes/No,What grade levels does your school serve?,Grade 9,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g09,i_Page_i1_i110,DEMOGRAPHICS,i1_g09,Yes/No,What grade levels does your school serve?,Grade 9,,,District Name,Boston,,37,N,N,,,,,,,,,0.22,0.06,0.11,0.33,0
Boston,i1,Principal,i1_g10,i_Page_i1_i111,DEMOGRAPHICS,i1_g10,Yes/No,What grade levels does your school serve?,Grade 10,0,No,District Name,Boston,29,37,N,N,78.51,8.57,61.36,95.65,78.38,5.51,65.67,87.29,,,,,
Boston,i1,Principal,i1_g10,i_Page_i1_i111,DEMOGRAPHICS,i1_g10,Yes/No,What grade levels does your school serve?,Grade 10,1,Yes,District Name,Boston,8,37,N,N,21.66,5.96,9.73,33.59,21.62,5.51,12.71,34.33,,,,,
Boston,i1,Principal,i1_g10,i_Page_i1_i111,DEMOGRAPHICS,i1_g10,Yes/No,What grade levels does your school serve?,Grade 10,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g10,i_Page_i1_i111,DEMOGRAPHICS,i1_g10,Yes/No,What grade levels does your school serve?,Grade 10,,,District Name,Boston,,37,N,N,,,,,,,,,0.22,0.06,0.11,0.33,0
Boston,i1,Principal,i1_g11,i_Page_i1_i112,DEMOGRAPHICS,i1_g11,Yes/No,What grade levels does your school serve?,Grade 11,0,No,District Name,Boston,28,37,N,N,75.8,8.46,58.88,92.72,75.68,5.72,62.78,85.16,,,,,
Boston,i1,Principal,i1_g11,i_Page_i1_i112,DEMOGRAPHICS,i1_g11,Yes/No,What grade levels does your school serve?,Grade 11,1,Yes,District Name,Boston,9,37,N,N,24.36,6.28,11.79,36.93,24.32,5.72,14.84,37.22,,,,,
Boston,i1,Principal,i1_g11,i_Page_i1_i112,DEMOGRAPHICS,i1_g11,Yes/No,What grade levels does your school serve?,Grade 11,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g11,i_Page_i1_i112,DEMOGRAPHICS,i1_g11,Yes/No,What grade levels does your school serve?,Grade 11,,,District Name,Boston,,37,N,N,,,,,,,,,0.24,0.06,0.13,0.36,0
Boston,i1,Principal,i1_g12,i_Page_i1_i113,DEMOGRAPHICS,i1_g12,Yes/No,What grade levels does your school serve?,Grade 12,0,No,District Name,Boston,28,37,N,N,75.8,8.46,58.88,92.72,75.68,5.72,62.78,85.16,,,,,
Boston,i1,Principal,i1_g12,i_Page_i1_i113,DEMOGRAPHICS,i1_g12,Yes/No,What grade levels does your school serve?,Grade 12,1,Yes,District Name,Boston,9,37,N,N,24.36,6.28,11.79,36.93,24.32,5.72,14.84,37.22,,,,,
Boston,i1,Principal,i1_g12,i_Page_i1_i113,DEMOGRAPHICS,i1_g12,Yes/No,What grade levels does your school serve?,Grade 12,(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g12,i_Page_i1_i113,DEMOGRAPHICS,i1_g12,Yes/No,What grade levels does your school serve?,Grade 12,,,District Name,Boston,,37,N,N,,,,,,,,,0.24,0.06,0.13,0.36,0
Boston,i1,Principal,i1_g13,i_Page_i1_i114,DEMOGRAPHICS,i1_g13,Yes/No,What grade levels does your school serve?,Grade 13 (special education students aged 18-22),0,No,District Name,Boston,33,37,N,N,89.33,8.41,72.52,106.15,89.19,3.94,78.83,94.81,,,,,
Boston,i1,Principal,i1_g13,i_Page_i1_i114,DEMOGRAPHICS,i1_g13,Yes/No,What grade levels does your school serve?,Grade 13 (special education students aged 18-22),1,Yes,District Name,Boston,4,37,N,N,10.83,4.21,2.41,19.25,10.81,3.94,5.19,21.17,,,,,
Boston,i1,Principal,i1_g13,i_Page_i1_i114,DEMOGRAPHICS,i1_g13,Yes/No,What grade levels does your school serve?,Grade 13 (special education students aged 18-22),(missing),missing,District Name,Boston,1,37,N,N,2.71,2.15,0,7.01,,,,,,,,,
Boston,i1,Principal,i1_g13,i_Page_i1_i114,DEMOGRAPHICS,i1_g13,Yes/No,What grade levels does your school serve?,Grade 13 (special education students aged 18-22),,,District Name,Boston,,37,N,N,,,,,,,,,0.11,0.04,0.03,0.19,0
Boston,i2,Principal,i2a,i_Page_i2_a_i2,DEMOGRAPHICS,N/A,Continuous,"Including the current school year (2016-17), how long have you worked as a school-level administrator?","Total amount of time as an administrator (as a principal, assistant principal, or school-level coordinator)",,,District Name,Boston,,,N,N,,,,,,,,,8.27,0.61,7.04,9.5,8
Boston,i2,Principal,i2b,i_Page_i2_b_i2,DEMOGRAPHICS,N/A,Continuous,"Including the current school year (2016-17), how long have you worked as a school-level administrator?",Total amount of time as a principal at any school,,,District Name,Boston,,,N,N,,,,,,,,,5.54,0.43,4.68,6.4,5
Boston,i2,Principal,i2c,i_Page_i2_c_i2,DEMOGRAPHICS,N/A,Continuous,"Including the current school year (2016-17), how long have you worked as a school-level administrator?",Total amount of time as a principal in current district,,,District Name,Boston,,,N,N,,,,,,,,,5.19,0.47,4.26,6.12,4
Boston,i2,Principal,i2d,i_Page_i2_d_i2,DEMOGRAPHICS,N/A,Continuous,"Including the current school year (2016-17), how long have you worked as a school-level administrator?",Total amount of time as a principal in current school,,,District Name,Boston,,,N,N,,,,,,,,,4.41,0.4,3.6,5.21,4
Boston,A1_0,Principal,A1_0a,A_Page_A1_0_a_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 MATHEMATICS,1,I am unfamiliar or only slightly familiar with this framework.,District Name,Boston,2,36,N,N,5.41,3,0,11.41,5.56,3,1.94,14.9,,,,,
Boston,A1_0,Principal,A1_0a,A_Page_A1_0_a_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 MATHEMATICS,2,"I have a general understanding of the framework, but I am not familiar with all the details.",District Name,Boston,14,36,N,N,37.9,7.07,23.75,52.05,38.89,6.03,27.8,51.26,,,,,
Boston,A1_0,Principal,A1_0a,A_Page_A1_0_a_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 MATHEMATICS,3,I have a detailed understanding of this framework.,District Name,Boston,20,36,N,N,54.14,7.28,39.58,68.7,55.56,6.21,43.18,67.28,,,,,
Boston,A1_0,Principal,A1_0a,A_Page_A1_0_a_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 MATHEMATICS,(missing),missing,District Name,Boston,2,36,N,N,5.41,3,0,11.41,,,,,,,,,
Boston,A1_0,Principal,A1_0a,A_Page_A1_0_a_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 MATHEMATICS,,,District Name,Boston,,36,N,N,,,,,,,,,2.5,0.08,2.35,2.65,3
Boston,A1_0,Principal,A1_0b,A_Page_A1_0_b_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 ENGLISH LANGUAGE ARTS,1,I am unfamiliar or only slightly familiar with this framework.,District Name,Boston,1,36,N,N,2.71,2.15,0,7.01,2.78,2.21,0.64,11.31,,,,,
Boston,A1_0,Principal,A1_0b,A_Page_A1_0_b_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 ENGLISH LANGUAGE ARTS,2,"I have a general understanding of the framework, but I am not familiar with all the details.",District Name,Boston,10,36,N,N,27.07,5.33,16.41,37.73,27.78,4.99,19.03,38.62,,,,,
Boston,A1_0,Principal,A1_0b,A_Page_A1_0_b_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 ENGLISH LANGUAGE ARTS,3,I have a detailed understanding of this framework.,District Name,Boston,25,36,N,N,67.68,8.07,51.54,83.81,69.44,5.23,58.23,78.74,,,,,
Boston,A1_0,Principal,A1_0b,A_Page_A1_0_b_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 ENGLISH LANGUAGE ARTS,(missing),missing,District Name,Boston,2,36,N,N,5.41,3,0,11.41,,,,,,,,,
Boston,A1_0,Principal,A1_0b,A_Page_A1_0_b_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2011 ENGLISH LANGUAGE ARTS,,,District Name,Boston,,36,N,N,,,,,,,,,2.67,0.06,2.54,2.79,3
Boston,A1_0,Principal,A1_0c,A_Page_A1_0_c_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2016 SCIENCE AND TECHNOLOGY/ ENGINEERING,1,I am unfamiliar or only slightly familiar with this framework.,District Name,Boston,6,36,N,N,16.24,5.31,5.62,26.86,16.67,5.1,8.88,29.1,,,,,
Boston,A1_0,Principal,A1_0c,A_Page_A1_0_c_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2016 SCIENCE AND TECHNOLOGY/ ENGINEERING,2,"I have a general understanding of the framework, but I am not familiar with all the details.",District Name,Boston,21,36,N,N,56.85,7.82,41.2,72.5,58.33,6.11,45.97,69.73,,,,,
Boston,A1_0,Principal,A1_0c,A_Page_A1_0_c_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2016 SCIENCE AND TECHNOLOGY/ ENGINEERING,3,I have a detailed understanding of this framework.,District Name,Boston,9,36,N,N,24.36,5.57,13.22,35.51,25,5.38,15.91,37,,,,,
Boston,A1_0,Principal,A1_0c,A_Page_A1_0_c_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2016 SCIENCE AND TECHNOLOGY/ ENGINEERING,(missing),missing,District Name,Boston,2,36,N,N,5.41,3,0,11.41,,,,,,,,,
Boston,A1_0,Principal,A1_0c,A_Page_A1_0_c_A1_0,STATE CURRICULUM FRAMEWORKS,N/A,Ordinal,"Which statement best describes your familiarity with the 2011 Mathematics, 2011 English Language Arts and 2016 Science and Technology/Engineering framework for the grades taught in your school?",2016 SCIENCE AND TECHNOLOGY/ ENGINEERING,,,District Name,Boston,,36,N,N,,,,,,,,,2.08,0.09,1.91,2.25,2
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,1,Disagree Strongly,District Name,Boston,0,35,N,N,0,0,0,0,0,0,0,0,,,,,
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,2,Disagree Somewhat,District Name,Boston,2,35,N,N,5.41,3.04,0,11.49,5.71,3.21,1.92,15.81,,,,,
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,3,Agree Somewhat,District Name,Boston,10,35,N,N,27.07,6.67,13.74,40.4,28.57,6.4,17.75,42.58,,,,,
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,4,Agree Strongly,District Name,Boston,23,35,N,N,62.26,8.05,46.16,78.36,65.71,6.13,52.82,76.64,,,,,
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,(missing),missing,District Name,Boston,3,35,N,N,8.12,3.65,0.82,15.43,,,,,,,,,
Boston,A1_1,Principal,A1_1a,A_Page_A1_1_a_A1_1,STATE CURRICULUM FRAMEWORKS,A1a,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework sets appropriate expectations for student learning at each grade level.,,,District Name,Boston,,35,N,N,,,,,,,,,3.6,0.07,3.45,3.75,4
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,1,Disagree Strongly,District Name,Boston,0,33,N,N,0,0,0,0,0,0,0,0,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,2,Disagree Somewhat,District Name,Boston,2,33,N,N,5.41,3.04,0,11.49,6.06,3.41,2.03,16.73,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,3,Agree Somewhat,District Name,Boston,13,33,N,N,35.19,7.8,19.59,50.79,39.39,7.72,25.6,55.12,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,4,Agree Strongly,District Name,Boston,18,33,N,N,48.73,8.36,32,65.46,54.55,7.46,39.87,68.47,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,(missing),missing,District Name,Boston,3,33,N,N,8.12,3.65,0.82,15.43,,,,,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,-1,Don't Know,District Name,Boston,2,33,N,N,,,,,,,,,,,,,
Boston,A1_1,Principal,A1_1b,A_Page_A1_1_b_A1_1,STATE CURRICULUM FRAMEWORKS,A1b,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,The current 2011 ELA Curriculum Framework positively affects the degree to which students are prepared for middle school/college or career.,,,District Name,Boston,,33,N,N,,,,,,,,,3.48,0.09,3.31,3.66,4
Boston,A1_1,Principal,A1_1c,A_Page_A1_1_c_A1_1,STATE CURRICULUM FRAMEWORKS,A1c,Ordinal,Please indicate your agreement with the following statements about the 2011 Massachusetts English Language Arts (ELA) Curriculum Framework.,Teachers have made instructional shifts over the last year to ensure students meet the expectations of the state's current 2011 ELA Curriculum Framework.,1,Disagree Strongly,District Name,Boston,0,35,N,N,0,0,0,0,0,0,0,0,,,,,
