state	program_code	provider	provider_type	total	male	female	white	minority	male_percent	female_percent	white_percent	minority_percent
California	312	California State University, Fullerton	Alternative, IHE-based	17	6	11	8	8	0.352941176	0.647058824	0.5	0.5
California	316	California State University, Long Beach	Traditional	599	196	391	194	344	0.333901193	0.666098807	0.360594796	0.639405204
California	316	California State University, Long Beach	Alternative, IHE-based	3	1	2	1	2	0.333333333	0.666666667	0.333333333	0.666666667
California	318	California State University, Los Angeles	Traditional	413	122	291	63	320	0.295399516	0.704600484	0.164490862	0.835509138
California	318	California State University, Los Angeles	Alternative, IHE-based	42	10	32	5	37	0.238095238	0.761904762	0.119047619	0.880952381
California	320	California State University, Monterey Bay	Traditional	103	36	67	51	34	0.349514563	0.650485437	0.6	0.4
California	320	California State University, Monterey Bay	Alternative, IHE-based	68	25	43	27	29	0.367647059	0.632352941	0.482142857	0.517857143
California	322	California State University, Northridge	Traditional	380	102	278	163	189	0.268421053	0.731578947	0.463068182	0.536931818
California	322	California State University, Northridge	Alternative, IHE-based	48	14	34	13	25	0.291666667	0.708333333	0.342105263	0.657894737
California	324	California State University, Sacramento	Traditional	155	47	98	117	87	0.324137931	0.675862069	0.573529412	0.426470588
California	324	California State University, Sacramento	Alternative, IHE-based	0	0	0	0	0
California	326	California State University, San Bernardino	Traditional	157	105	52	35	49	0.668789809	0.331210191	0.416666667	0.583333333
California	326	California State University, San Bernardino	Alternative, IHE-based	54	11	43	15	18	0.203703704	0.796296296	0.454545455	0.545454545
California	328	California State University, San Marcos	Traditional	116	15	101	61	39	0.129310345	0.870689655	0.61	0.39
California	328	California State University, San Marcos	Alternative, IHE-based	0	0	0	0	0
California	330	California State University, Stanislaus	Traditional	220	39	181	37	77	0.177272727	0.822727273	0.324561404	0.675438596
California	330	California State University, Stanislaus	Alternative, IHE-based	10	3	7	2	5	0.3	0.7	0.285714286	0.714285714
California	344	CalState TEACH	Traditional	969	189	780	641	936	0.19504644	0.80495356	0.406467977	0.593532023
California	344	CalState TEACH	Alternative, IHE-based	89	19	70	60	79	0.213483146	0.786516854	0.431654676	0.568345324
California	512	Chapman University	Traditional	97	25	72	47	46	0.257731959	0.742268041	0.505376344	0.494623656
California	512	Chapman University	Alternative, IHE-based	5	0	5	5	0	0	1	1	0
California	516	Claremont Graduate University	Traditional	26	8	18	4	17	0.307692308	0.692307692	0.19047619	0.80952381
California	516	Claremont Graduate University	Alternative, IHE-based	35	9	26	10	18	0.257142857	0.742857143	0.357142857	0.642857143
California	520	Concordia University	Traditional	95	49	48	73	24	0.505154639	0.494845361	0.75257732	0.24742268
California	520	Concordia University	Alternative, IHE-based	0	0	0	0	0
California	522	Dominican University of California	Traditional	93	23	70	71	21	0.247311828	0.752688172	0.77173913	0.22826087
California	522	Dominican University of California	Alternative, IHE-based	7	1	6	7	6	0.142857143	0.857142857	0.538461538	0.461538462
California	526	Fresno Pacific University	Traditional	275	66	209	115	149	0.24	0.76	0.435606061	0.564393939
California	526	Fresno Pacific University	Alternative, IHE-based	82	25	57	57	34	0.304878049	0.695121951	0.626373626	0.373626374
California	531	Hebrew Union College	Traditional	12	3	9	12	0	0.25	0.75	1	0
California	701	High Tech High Communities	Alternative, not IHE-based	31	12	19	26	14	0.387096774	0.612903226	0.65	0.35
California	528	Holy Names University	Traditional	60	19	41	17	42	0.316666667	0.683333333	0.288135593	0.711864407
California	528	Holy Names University	Alternative, IHE-based	15	8	7	6	9	0.533333333	0.466666667	0.4	0.6
California	558	Hope International University	Traditional	57	23	34	24	22	0.403508772	0.596491228	0.52173913	0.47826087
California	332	Humboldt State University	Traditional	8	3	5	3	5	0.375	0.625	0.375	0.625
California	332	Humboldt State University	Alternative, IHE-based	0	0	0	0	0
California	602	Humphreys College	Traditional	63	6	57	17	46	0.095238095	0.904761905	0.26984127	0.73015873
California	532	La Sierra University	Traditional	83	34	49	45	67	0.409638554	0.590361446	0.401785714	0.598214286
California	532	La Sierra University	Alternative, IHE-based	0	0	0	0	0
California	887	Los Angeles County Office of Education	Alternative, not IHE-based	0	0	0	0	0
California	708	Los Angeles Unified School District	Alternative, not IHE-based	48	12	36	27	33	0.25	0.75	0.45	0.55
California	536	Loyola Marymount University	Traditional	316	71	245	101	203	0.224683544	0.775316456	0.332236842	0.667763158
California	536	Loyola Marymount University	Alternative, IHE-based	319	107	212	88	206	0.335423197	0.664576803	0.299319728	0.700680272
California	540	Mills College	Traditional	2	1	1	1	1	0.5	0.5	0.5	0.5
California	542	Mount St. Mary’s University	Traditional	85	14	71	16	63	0.164705882	0.835294118	0.202531646	0.797468354
California	542	Mount St. Mary’s University	Alternative, IHE-based	3	1	2	0	3	0.333333333	0.666666667	0	1
California	700	Mt. Diablo Unified School District	Alternative, not IHE-based	47	30	17	22	23	0.638297872	0.361702128	0.488888889	0.511111111
California	548	National University	Traditional	2945	978	1937	1424	1392	0.335506003	0.664493997	0.505681818	0.494318182
California	548	National University	Alternative, IHE-based	455	174	280	234	204	0.383259912	0.616740088	0.534246575	0.465753425
California	518	Notre Dame de Namur University	Traditional	222	58	164	59	65	0.261261261	0.738738739	0.475806452	0.524193548
California	518	Notre Dame de Namur University	Alternative, IHE-based	29	7	22	10	9	0.24137931	0.75862069	0.526315789	0.473684211
California	560	Pacific Oaks College	Traditional	77	5	72	37	31	0.064935065	0.935064935	0.544117647	0.455882353
California	560	Pacific Oaks College	Alternative, IHE-based	0	0	0	0	0
California	562	Pacific Union College	Traditional	47	12	35	27	17	0.255319149	0.744680851	0.613636364	0.386363636
California	564	Patten University	Traditional	30	18	12	15	15	0.6	0.4	0.5	0.5
California	564	Patten University	Alternative, IHE-based	30	18	12	15	15	0.6	0.4	0.5	0.5
California	566	Pepperdine University	Traditional	67	14	53	37	30	0.208955224	0.791044776	0.552238806	0.447761194
California	572	Point Loma Nazarene University	Traditional	179	58	121	119	82	0.324022346	0.675977654	0.592039801	0.407960199
California	572	Point Loma Nazarene University	Alternative, IHE-based	63	18	45	37	26	0.285714286	0.714285714	0.587301587	0.412698413
California	514	San Diego Christian College	Traditional	24	7	17	18	7	0.291666667	0.708333333	0.72	0.28
California	712	San Diego City Unified School District	Alternative, not IHE-based	0	0	0	0	0
California	334	San Diego State University	Traditional	127	34	93	55	69	0.267716535	0.732283465	0.443548387	0.556451613
California	334	San Diego State University	Alternative, IHE-based	5	0	5	0	5	0	1	0	1
California	338	San Francisco State University	Traditional	175	45	130	77	81	0.257142857	0.742857143	0.487341772	0.512658228
California	338	San Francisco State University	Alternative, IHE-based	48	13	35	30	14	0.270833333	0.729166667	0.681818182	0.318181818
California	702	San Joaquin County Office of Education - Project IMPACT	Alternative, not IHE-based	122	48	74	72	50	0.393442623	0.606557377	0.590163934	0.409836066
California	340	San Jose State University	Traditional	187	55	132	83	104	0.294117647	0.705882353	0.443850267	0.556149733
California	340	San Jose State University	Alternative, IHE-based	80	27	53	37	43	0.3375	0.6625	0.4625	0.5375
California	576	Santa Clara University	Traditional	149	40	109	56	92	0.268456376	0.731543624	0.378378378	0.621621622
California	578	Simpson University	Traditional	113	25	88	32	6	0.221238938	0.778761062	0.842105263	0.157894737
California	342	Sonoma State University	Traditional	68	10	58	52	7	0.147058824	0.852941176	0.881355932	0.118644068
California	342	Sonoma State University	Alternative, IHE-based	19	11	8	13	3	0.578947368	0.421052632	0.8125	0.1875
California	574	St. Mary's College of California	Traditional	151	23	127	82	41	0.153333333	0.846666667	0.666666667	0.333333333
California	574	St. Mary's College of California	Alternative, IHE-based	0	0	0	0	0
California	582	Stanford University	Traditional	0	0	0	0	0
California	714	Stanislaus County Office of Education	Alternative, not IHE-based	22	4	18	15	7	0.181818182	0.818181818	0.681818182	0.318181818
California	616	Teacher's College of San Joaquin	Traditional	0	0	0	0	0
California	538	The Master’s College	Traditional	10	1	9	9	1	0.1	0.9	0.9	0.1
California	583	Touro University	Traditional	181	57	124	115	66	0.314917127	0.685082873	0.635359116	0.364640884
California	583	Touro University	Alternative, IHE-based	23	9	12	7	16	0.428571429	0.571428571	0.304347826	0.695652174
California	865	Tulare County Office of Education	Alternative, not IHE-based	129	43	86	68	43	0.333333333	0.666666667	0.612612613	0.387387387
California	529	United States University	Traditional	14	5	9	2	12	0.357142857	0.642857143	0.142857143	0.857142857
California	400	University of California, Berkeley	Traditional	13	3	10	7	5	0.230769231	0.769230769	0.583333333	0.416666667
California	402	University of California, Davis	Traditional	0	0	0	0	0
California	404	University of California, Irvine	Traditional	0	0	0	0	0
California	406	University of California, Los Angeles	Traditional	128	32	96	40	83	0.25	0.75	0.325203252	0.674796748
California	406	University of California, Los Angeles	Alternative, IHE-based	25	6	19	0	0	0.24	0.76
California	408	University of California, Riverside	Traditional	5	2	3	0	5	0.4	0.6	0	1
California	408	University of California, Riverside	Alternative, IHE-based	0	0	0	0	0
California	410	University of California, San Diego	Traditional	50	14	36	23	27	0.28	0.72	0.46	0.54
California	410	University of California, San Diego	Alternative, IHE-based	17	7	10	8	9	0.411764706	0.588235294	0.470588235	0.529411765
California	412	University of California, Santa Barbara	Traditional	4	1	3	2	2	0.25	0.75	0.5	0.5
California	414	University of California, Santa Cruz	Traditional	80	22	58	45	30	0.275	0.725	0.6	0.4
California	586	University of LaVerne	Traditional	533	119	414	233	208	0.22326454	0.77673546	0.528344671	0.471655329
California	586	University of LaVerne	Alternative, IHE-based	73	43	30	30	33	0.589041096	0.410958904	0.476190476	0.523809524
California	589	University of Phoenix - CA	Traditional	1271	320	951	401	496	0.25177026	0.74822974	0.447045708	0.552954292
California	589	University of Phoenix - CA	Alternative, IHE-based	39	15	24	10	17	0.384615385	0.615384615	0.37037037	0.62962963
California	590	University of Redlands	Traditional	582	134	448	226	239	0.23024055	0.76975945	0.486021505	0.513978495
California	590	University of Redlands	Alternative, IHE-based	3	0	3	2	1	0	1	0.666666667	0.333333333
California	592	University of San Diego	Traditional	97	21	76	59	32	0.216494845	0.783505155	0.648351648	0.351648352
California	594	University of San Francisco	Traditional	194	37	157	100	94	0.190721649	0.809278351	0.515463918	0.484536082
California	594	University of San Francisco	Alternative, IHE-based	13	2	11	9	4	0.153846154	0.846153846	0.692307692	0.307692308
California	596	University of Southern California	Traditional	385	107	278	163	200	0.277922078	0.722077922	0.449035813	0.550964187
California	588	University of the Pacific	Traditional	142	31	111	61	81	0.218309859	0.781690141	0.429577465	0.570422535
California	588	University of the Pacific	Alternative, IHE-based	22	5	17	15	7	0.227272727	0.772727273	0.681818182	0.318181818
California	580	Vanguard University	Traditional	42	11	31	29	14	0.261904762	0.738095238	0.674418605	0.325581395
California	597	Western Governors University - CA	Traditional	465	133	332	326	139	0.286021505	0.713978495	0.701075269	0.298924731
California	598	Westmont College	Traditional	16	0	16	13	7	0	1	0.65	0.35
California	600	Whittier College	Traditional	44	17	27	17	27	0.386363636	0.613636364	0.386363636	0.613636364
California	600	Whittier College	Alternative, IHE-based	0	0	0	0	0
California	599	William Jessup University	Traditional	149	30	119	118	30	0.201342282	0.798657718	0.797297297	0.202702703
