School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2013-2014,ALABAMA,Dropped out,Multiple disabilities,-,-,0,2,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,7,13,9,39,8,76,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Multiple disabilities,-,-,0,5,7,1,7,1,21,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Multiple disabilities,11,5,9,1,1,2,2,0,31,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,20,3,23,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Multiple disabilities,0,0,0,2,6,8,32,7,55,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Multiple disabilities,0,0,1,10,14,9,61,12,107,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Multiple disabilities,11,5,10,11,15,11,63,12,138,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Multiple disabilities,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Orthopedic impairment,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Orthopedic impairment,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,0,0,0,12,15,2,5,1,35,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Orthopedic impairment,-,-,0,12,13,1,0,1,27,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Orthopedic impairment,3,1,1,3,1,1,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Orthopedic impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Orthopedic impairment,0,0,0,0,2,1,5,0,8,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Orthopedic impairment,1,0,0,12,15,2,5,1,36,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Orthopedic impairment,4,1,1,15,16,3,5,1,46,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Other health impairment,2,1,2,1,1,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Other health impairment,-,-,12,37,14,2,1,0,66,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,1,186,181,34,14,1,417,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Other health impairment,-,-,1,178,162,27,2,0,370,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Other health impairment,98,104,103,64,33,5,1,0,408,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Other health impairment,-,-,-,-,-,-,2,1,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Other health impairment,0,0,0,8,19,7,12,1,47,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Other health impairment,2,1,15,224,196,36,17,2,493,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Other health impairment,115,129,135,295,234,41,19,2,970,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Other health impairment,15,24,17,7,5,0,1,0,69,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Specific learning disability,1,1,0,1,1,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Specific learning disability,-,-,58,119,125,54,5,2,363,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,5,848,1486,288,38,0,2665,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Specific learning disability,-,-,5,813,1420,257,25,0,2520,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Specific learning disability,264,314,320,246,110,39,16,8,1317,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Specific learning disability,-,-,-,-,-,-,2,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Specific learning disability,0,0,0,35,66,31,13,0,145,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Specific learning disability,1,1,63,968,1612,342,45,2,3034,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Specific learning disability,340,388,438,1255,1745,395,83,14,4658,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Specific learning disability,75,73,55,41,23,14,22,4,307,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Speech or language impairment,-,-,1,1,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,0,31,27,7,1,0,66,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Speech or language impairment,-,-,0,28,23,7,0,0,58,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Speech or language impairment,9,8,8,7,4,2,2,1,41,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Speech or language impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Speech or language impairment,0,0,0,3,4,0,1,0,8,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Speech or language impairment,0,0,1,32,28,7,1,0,69,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Speech or language impairment,49,18,19,45,33,13,11,4,192,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Speech or language impairment,40,10,10,6,1,4,8,3,82,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Traumatic brain injury,-,-,0,1,1,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,0,13,8,2,2,2,27,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Traumatic brain injury,-,-,0,12,7,0,1,0,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Traumatic brain injury,0,4,0,2,0,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Traumatic brain injury,0,0,0,1,1,2,1,2,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Traumatic brain injury,0,0,0,14,9,3,3,2,31,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Traumatic brain injury,0,4,0,17,9,3,3,2,38,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Traumatic brain injury,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Dropped out,Visual impairment,-,-,0,1,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,0,16,17,2,1,1,37,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Graduated with regular high school diploma,Visual impairment,-,-,0,16,15,1,1,1,34,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,"Moved, known to be continuing",Visual impairment,2,4,3,1,0,0,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Received a certificate,Visual impairment,0,0,0,0,2,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting school,Visual impairment,0,0,0,17,18,2,1,1,39,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Total exiting special education,Visual impairment,3,4,4,19,18,2,1,1,52,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALABAMA,Transferred to regular education,Visual impairment,1,0,1,1,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,All Disabilities,0,0,1,0,1,1,0,0,3,0,1,0,1,0,1,0,0,3,1,2
2013-2014,ALASKA,Dropped out,All Disabilities,21,48,61,106,86,47,20,3,392,20,171,2,18,5,128,48,264,128,88,304
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,4,333,256,57,27,44,721,46,203,29,61,16,315,51,484,237,109,612
2013-2014,ALASKA,Graduated with regular high school diploma,All Disabilities,0,0,4,266,196,40,19,15,540,32,134,19,49,11,253,42,372,168,56,484
2013-2014,ALASKA,"Moved, known to be continuing",All Disabilities,73,65,93,44,29,4,2,0,310,23,71,5,26,7,151,27,197,113,38,272
2013-2014,ALASKA,Reached maximum age,All Disabilities,-,-,-,-,-,-,0,10,10,1,2,0,0,0,7,0,5,5,0,10
2013-2014,ALASKA,Received a certificate,All Disabilities,0,0,0,67,60,17,8,29,181,14,69,10,12,5,62,9,112,69,53,128
2013-2014,ALASKA,Total exiting school,All Disabilities,21,48,66,439,343,105,47,57,1126,67,377,31,80,21,451,99,753,373,198,928
2013-2014,ALASKA,Total exiting special education,All Disabilities,143,154,205,512,393,112,51,57,1627,98,509,42,110,30,702,136,1090,537,257,1370
2013-2014,ALASKA,Transferred to regular education,All Disabilities,49,41,46,29,21,3,2,0,191,8,61,6,4,2,100,10,140,51,21,170
2013-2014,ALASKA,Died,Autism,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Autism,0,1,3,0,1,1,4,0,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,19,11,1,2,14,47,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Autism,0,0,0,14,5,1,1,6,27,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Autism,0,1,3,0,1,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Reached maximum age,Autism,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Received a certificate,Autism,0,0,0,5,6,0,1,8,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting school,Autism,0,1,4,19,12,2,6,14,58,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting special education,Autism,3,3,7,20,14,2,6,14,69,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Transferred to regular education,Autism,3,1,0,1,1,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting special education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Emotional disturbance,5,8,8,9,16,7,1,0,54,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,1,17,7,1,4,1,31,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Emotional disturbance,0,0,1,15,5,0,4,1,26,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Emotional disturbance,13,9,9,8,3,0,0,0,42,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Received a certificate,Emotional disturbance,0,0,0,2,2,1,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting school,Emotional disturbance,5,8,9,26,23,8,5,1,85,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting special education,Emotional disturbance,20,19,21,35,29,8,6,1,139,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Transferred to regular education,Emotional disturbance,2,2,3,1,3,0,1,0,12,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,3,2,1,1,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Hearing impairment,0,0,0,1,1,1,1,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Hearing impairment,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Received a certificate,Hearing impairment,0,0,0,2,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting school,Hearing impairment,0,0,0,3,2,1,1,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting special education,Hearing impairment,1,1,0,5,2,1,1,0,11,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Transferred to regular education,Hearing impairment,1,1,0,1,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,Intellectual disability,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Intellectual disability,1,2,2,4,6,4,0,1,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,0,8,6,2,0,11,27,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Intellectual disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Intellectual disability,4,2,3,3,1,1,0,0,14,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Reached maximum age,Intellectual disability,-,-,-,-,-,-,0,6,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Received a certificate,Intellectual disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting school,Intellectual disability,1,2,2,12,12,6,0,18,53,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Total exiting special education,Intellectual disability,5,4,7,15,13,8,0,18,70,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Transferred to regular education,Intellectual disability,0,0,2,0,0,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Died,Multiple disabilities,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Dropped out,Multiple disabilities,0,0,0,0,3,2,2,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,2,5,4,3,6,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,Graduated with regular high school diploma,Multiple disabilities,0,0,0,2,3,2,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,ALASKA,"Moved, known to be continuing",Multiple disabilities,0,0,5,0,0,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
